Label;Part Type;mn;mpn;part number;
D1;SOLAR-IXYS;;;;
D2;Diode;;;;
Driver1;28BYJ-48 Driver Module;;;ULN2003;
DS1307;Adafruit DS1307 RTC Breakout;;;Adafruit #264;
J1;Power Jack;;;;
LED1;Super Flux RGB LED (com. cathode);;;;
M1;MT3608  Module;;;;
OLED1;SSD1306 0.96in 128x64 I2C Monochrome OLED Display;;;;
Q1;Basic FET N-Channel;;;;
R1;220Ω Resistor;;;;
R2;220Ω Resistor;;;;
S3;Round Pushbutton;;;;
S4;Toggle Switch;;;;
SM1;28BYJ-48 Stepper Motor;;;28BYJ-48;
TP1;TP4056;;;;
U1;LuaNode32 / ESP32;;;;
U2;LIPO-110mAh;;;;

Amount;Part Type;mn;mpn;part number;
2;220Ω Resistor;;;;
1;28BYJ-48 Driver Module;;;ULN2003;
1;28BYJ-48 Stepper Motor;;;28BYJ-48;
1;Adafruit DS1307 RTC Breakout;;;Adafruit #264;
1;Basic FET N-Channel;;;;
1;Diode;;;;
1;LIPO-110mAh;;;;
1;LuaNode32 / ESP32;;;;
1;MT3608  Module;;;;
1;Power Jack;;;;
1;Round Pushbutton;;;;
1;SOLAR-IXYS;;;;
1;SSD1306 0.96in 128x64 I2C Monochrome OLED Display;;;;
1;Super Flux RGB LED (com. cathode);;;;
1;TP4056;;;;
1;Toggle Switch;;;;
